Species,d13C,d15N,d34S
Cm,-13.53,6.19,13.68
Cm,-12.07,5.62,2.68
Cm,-14.81,6.95,9.79
Cm,-19.55,6.74,10.12
Cm,-12.49,6.21,9.52
Cm,-14.91,7.36,10.9
Cm,-14.93,6.46,8.25
Cm,-20.32,10.06,14.66
Cm,-12.73836664,6.369168306,6.095542693
Cm,-11.65855436,6.00990791,0.921907444
Cm,-23.38969182,7.975306454,13.18306213
Cm,-14.42119059,7.257715898,10.6
Cm,-13.84085808,5.52375061,5.230020768
Cm,-13.96470438,5.706196676,1.560117003
Cm,-13.51297533,1.264774309,10.979852
Cm,-17.19156158,7.584320307,19.90258551
Cm,-14.90312258,5.203526135,6.028318414
Lk,-15.09,8.49,5.84
Lk,-13.01,5.89,2.03
Lk,-14.47,8.31,8.03
Lk,-12.55,8.31,5.8
Lk,-14.32,6.72,12.28
Lk,-13.22,6.91,7.01
Lk,-14.56,7.92,5.55
Lk,-13.05,6.87,8.39
Lk,-15.47,7.47,4.93
Lk,-14.39,5.69,11.57
Lk,-14.73,6.99,6.38
Lk,-11.43,6.2,5.09
Lk,-13.28,6.55,1.11
Lk,-13.85,7.1,4.35
Lk,-14.91,7.18,8.77
Lk,-15.01,6.28,3.51
Lk,-14.75,5.98,7.64
Lk,-14.64,5.69,8.98
Lk,-13.84,7.5,10.62
Lk,-14.93,6.37,1.96
Lk,-14.61,5.77,4.76
Lk,-15,6.89,1.15
Lk,-15.5,7.9,5.33
Lk,-14.93,6.53,5.63
Lk,-15.42,6.99,7.92
Lk,-15.37,7.84,4.06
Lk,-14.62,6.32,8.15
Lk,-14.46,6.89,21.71
Lk,-13.82,5.12,10.63
Lk,-14.83,4.74,12.88
Lk,-14.15,11.76,10.89
Lk,-15.36,8.5,13.04
Lk,-16.31,9.1,13.54
Lk,-13.2,5.5,10.25
Lk,-13.75,6.06,11.18
Lk,-15.69,7.75,7.23
Lk,-13.66,6.6,5.56
Lk,-15.79,11.11,8.48
Lk,-14.24149768,6.326619686,3.020972452
Lk,-14.74451713,5.86972964,1.946926238
Lk,-14.59256993,5.371208598,2.501401197
Lk,-14.26790995,6.163061581,7.971817048
Lk,-16.79512637,7.228358991,6.66889799
Lk,-15.17962645,7.532086228,9.689408996
Lk,-14.32370208,7.200211876,8.375035322
Lk,-15.35282206,13.29882754,14.17033072
Lk,-14.58788648,5.408238164,9.02333941
Lk,-13.12289922,6.261026709,4.210468251
Lk,-13.85724446,6.125246899,4.580189859
